rxn,flux
ATPS_m,68.06523994
IDP_h,2.405092901
IDP_m,8.07E-16
THD2_m,0
ATAM_c,14.33415294
GLTS_h,17.80160019
GLNA_h,22.50010191
FACOAL_181_9Z_c,0.098867694
ACS_c,3.763343936
UTAL_c,0.042823951
ASPTA_L_c,4.422095405
ASPTA_L_h,-12.09124263
OAAAKGt_m,0.773215945
ASPTA_L_m,2.359157139
FACOAL_160_c,0
SERDC_m,0.025018899
SAL_m,-1.534936513
ALATA_L_h,0
GLYK_c,0.002766882
MDH_m,-1.719663958
MALAKGt_m,0.621241187
MALOAAt_m,0
ME1_m,4.993568575
PGI_c,-4.045732254
PGI_h,-0.151079493
AMPD_c,0
FACOAL_180_c,0.005198927
TDSR_c,0.00847691
FTHDF_c,-1.11E-13
FTHFL_c,0
ASNS_c,0.346281976
ATPCS_c,-3.648879461
AKGCITt_m,3.648879461
MALCITt_m,0
OAACITt_m,0
CISY_m,4.852037042
G3PDH_h,0.26557648
TPI_h,67.32506442
DGOTO_c,0.002067023
PGM_c,-0.334892732
PGM_h,-0.151079493
PYC_m,0
CITICITt_m,0
MAT_c,0.143455733
GHMT_m,-0.224134257
PEPC_m,0
PYK_c,0
AGPOP_c,0
GTPOP_c,0
PEPC_h,12.09124263
PPDK_h,0
PYK_m,10.78772503
PEPCK_m,0
SAT_h,0
DAOTO_c,0.002171432
DAPOP_c,0
DHFR1_c,0
DHFR2_c,0.002171432
AGAT_m,0
MALS_x,0
FACOAL_182_9Z12Z_c,0.00552386
PDH_E3_h,7.131456239
PDH_E3_m,6.091991347
PYDXK_c,0
PYDXPP_c,0
RPDPK_c,0
GMPS_c,0
GMPS_GLU_c,0.040652519
IMPD_c,0.040652519
PDH_E1a_h,7.131456239
PDH_E1a_m,0
TAL_m,0
ADH_c,0
THRA_m,0
SUAT_h,0.223258237
DCDT_c,0.004238455
DOLPMT_c,0
MDUMT_c,0.002171432
ATDTM_c,0.002171432
DTMPK_c,0
CCP2_m,-6.33E-15
CYSS_h,0
SAHH_c,-0.143455733
GAPDH_c,0
GAPDH_h,186.4583067
PGK_h,186.4583067
GAPDH_m,-10.78772503
ENO_h,-13.54169332
ENO_m,-10.78772503
G6PDH_c,2.92253578
DMOR_4_h,1.142792817
DMOR_4_m,0
MG3_c,0
MG2_c,0
CBL_m,0
IDIH_h,0
PETHCT_c,0.003127362
DHFOR1_c,0
THFOR1_c,0
THFOR2_c,0
DHFOR2_c,0
GGPS_h,0.17450176
GUAD_c,0
LDH_m,0
MI3PS_c,0.003752835
DVPCHLDR_h,0.002684909
PCHLDOR_h,0
PDXPP_c,0
PYDXNK_c,0
SDH_m,-6.175352371
PYDXS_c,0
UGDH_c,0.151488256
MTMOHT_m,0
PGLYCP_h,-5.38E-15
IPPS_h,0.625105268
PPNCL_m,0
METS_c,-0.276860175
MTHFO1_c,0
MTHFO2_c,0.276860175
PGDH_c,2.92253578
PGDH_h,0
EAR40_h,0.79976839
OCT_m,0.387664941
UPP3DC_h,0
DVCHLDR_h,-0.070387801
DVPCHLDOR_h,0.070387801
FBP_h,33.96789639
FBA_h,-33.96789639
OAT_m,0
FPPS_c,0
GPPS_c,1.15E-16
FPPS_h,0.17450176
GPPS_h,0.17450176
IDS1_h,0.523505279
IDS2_h,0.17450176
HMGL_m,0
FACOAL_183_6Z9Z12Z_c,0.092693968
MCOATA_h,5.666211498
MMSAD_m,0
NITR_c,11.93277165
GGDR_h,0.066911221
CHRM_c,0.645752253
FCLT_h,0
PYAMPP_c,0
PYAMK_c,0
PRK_h,100
TALA_h,0
SELCYSLY2_c,0
SELTOR_c,0
SPMS_c,0
SCS_m,-6.091991347
EAR120_h,0.79976839
EAR60_h,0.79976839
EAR160_h,0.763534535
RPE_h,-66.90840845
TKL1_h,-33.09159155
TKL2_h,33.8168169
P5CR_c,0
DAPEP_h,2.891866119
DAHPS_h,0.725225346
ACCAT_m,0
BCKDHI_m,0
BCKDHV_m,0
IMPDH_h,0.625105268
DHQS_h,0.725225346
SERPT_c,0
KARI_1_h,-0.397810442
KARI_2_h,0.397810442
MCCC_m,0
MGCH_m,0
BCKDHL_m,0
3OAS181_h,0.098867694
3OAS120_h,0.79976839
3OAS100_h,0.79976839
3OAS60_h,0.79976839
3OAS140_h,0.79976839
3OAS80_h,0.79976839
3OAS180_h,0.005198927
3OAS160_h,0.763534535
CHRS_h,0.725225346
ADCS_c,0
CMS_h,0.698007038
FUMAC_c,0
HGNTOR_c,0
ASADH_h,3.912734929
ASPK_h,3.912734929
PRAIC_c,-0.083361025
PRAIS_c,0.083361025
MTRI_c,0
MTRK_c,0
MTAN_m,0
AGK_h,0.981888727
3OAS40_h,0.79976839
PDH_E1b_h,7.131456239
PDH_E1b_m,0
PDH_E2_m,0
ARGSS_c,0.387664941
ASPCT_c,0.083361025
DHR_c,-0.083361025
NCPA_c,0
CAS_c,0
ATDAM_c,0
ADSS_c,0.150215221
GLCNACPT_c,0
TMTD_h,0
DXR_h,0.698007038
PRFGCL_c,0.083361025
PRFGS_c,0.083361025
LYCBC1_c,-0.053795269
G1SAT_h,-0.622248995
G5DH_c,0
GTHS_h,0
HDH_c,0.107506715
FACOAL_183_9Z12Z15Z_c,0
MPML_h,0.077781124
MPMT_h,-0.077781124
NOR_h,-0.053795269
CYEUOLI_c,0
OBFOLOR_c,0
CMK_h,0.698007038
PPDH_c,0.413651664
PDS1_c,0.053795269
PSY_h,0.053795269
PPBNGD_h,-0.077781124
PPBNGS_h,0.311124498
CPPPGO_h,0.077781124
PPPGO_h,0.077781124
PPRGL_c,0.083361025
IMGPS_c,0.107506715
PRICI_c,0.107506715
PSP_m,0
PSPPS_c,0
FBA3_h,33.09159155
SBP_h,33.09159155
OGDH_E2_m,6.091991347
OGDH_E1_m,6.091991347
EPSPS_h,-0.725225346
SQLS_c,0
DAPAT_h,2.891866119
DHPR_h,2.891866119
GLUTL_c,0.402438215
GLUTRR_h,0.622248995
TMTG_h,0
PDS2_h,0.053795269
ZDS_h,-0.053795269
METTF_c,0
FORA_c,0
HEMEASM_m,0
MERGTOLR_c,0
PPM_c,-0.353701857
PPM_h,0
BETALDH_c,0
SSAL2_m,-2.15E-14
ARGTL_c,0.387664941
CYSTL_c,0.033818337
GLYTL_m,0
HISTL_c,0.107506715
ILETL_c,0.397810442
LEUTL_c,0.625105268
LYSTL_m,0
METTL_c,0.133404441
PHETL_m,0
PROTL_c,0.594223786
THRTL_c,0.489653927
THRTL_m,0
TRPTL_c,0.079473093
TYRTL_c,0.232100589
VALTL_c,0.517687549
VALTL_h,0
NADK_h,-1.20E-13
GLNA_m,0
TPTPti_h,17.55893038
FUM_m,6.091991347
GLYTA_m,-5.38E-15
BCTAV_h,-0.517687549
PGAM_c,0
PGAM_m,10.78772503
