rxn,flux
ATPS_m,69.06055851
IDP_h,0.618171917
IDP_m,0
THD2_m,0
ATAM_c,5.53120477
GLTS_h,34.56869479
GLNA_h,8.703555402
FACOAL_181_9Z_c,0.026749976
ACS_c,0.384841133
UTAL_c,0.015908066
ASPTA_L_c,-1.973940286
ASPTA_L_h,-0.119421542
OAAAKGt_m,0
ASPTA_L_m,-2.951590646
FACOAL_160_c,0
SERDC_m,0.00854129
SAL_m,14.77608079
ALATA_L_h,-0.473931349
GLYK_c,0.000944596
MDH_m,-15.68497795
MALAKGt_m,1.196213184
MALOAAt_m,-1.973940286
ME1_m,0
PGI_c,-0.858453745
PGI_h,-0.028668057
AMPD_c,0
FACOAL_180_c,0.00177488
TDSR_c,0.003185509
FTHDF_c,-2.10E-12
FTHFL_c,0
ASNS_c,0
ATPCS_c,0
AKGCITt_m,0
MALCITt_m,-8.66E-16
OAACITt_m,0
CISY_m,10.75944701
G3PDH_h,0.171125805
TPI_h,88.76807706
DGOTO_c,0.00077676
PGM_c,-0.345174144
PGM_h,-0.028668057
PYC_m,0
CITICITt_m,0
MAT_c,0.042101855
GHMT_m,15.39029091
PEPC_m,0
PYK_c,0
AGPOP_c,0
GTPOP_c,0
PEPC_h,0
PPDK_h,0
PYK_m,0
PEPCK_m,0
SAT_h,0
DAOTO_c,0.000815995
DAPOP_c,0
DHFR1_c,0
DHFR2_c,0.000815995
AGAT_m,0
MALS_x,0.352766517
FACOAL_182_9Z12Z_c,0.00188581
PDH_E3_h,4.531428299
PDH_E3_m,9.682709825
PYDXK_c,0
PYDXPP_c,0
RPDPK_c,0
GMPS_c,0.015092071
GMPS_GLU_c,0
IMPD_c,0.015092071
PDH_E1a_h,4.531428299
PDH_E1a_m,0
TAL_m,0
ADH_c,0
THRA_m,0
SUAT_h,0.099848165
DCDT_c,0.001592754
DOLPMT_c,0
MDUMT_c,0.000815995
ATDTM_c,0.000815995
DTMPK_c,0
CCP2_m,0
CYSS_h,0
SAHH_c,-0.042101855
GAPDH_c,0
GAPDH_h,225.6300434
PGK_h,225.6300434
GAPDH_m,0
ENO_h,-5.777905099
ENO_m,0
G6PDH_c,0
DMOR_4_h,3.525996914
DMOR_4_m,0
MG3_c,0
MG2_c,0
CBL_m,0
IDIH_h,0
PETHCT_c,0.001067661
DHFOR1_c,0
THFOR1_c,0
THFOR2_c,0
DHFOR2_c,0
GGPS_h,0.041239795
GUAD_c,0
LDH_m,0
MI3PS_c,0.001281194
DVPCHLDR_h,0.000604379
PCHLDOR_h,0
PDXPP_c,0
PYDXNK_c,0
SDH_m,-13.86714917
PYDXS_c,0
UGDH_c,0.056202507
MTMOHT_m,0
PGLYCP_h,31.40794853
IPPS_h,0.321632251
PPNCL_m,0
METS_c,-0.110741767
MTHFO1_c,0
MTHFO2_c,0.110741767
PGDH_c,0
PGDH_h,0
EAR40_h,0.522251992
OCT_m,0.199463281
UPP3DC_h,0.019680968
DVCHLDR_h,-0.017945352
DVPCHLDOR_h,0.017945352
FBP_h,45.75728593
FBA_h,-45.75728593
OAT_m,26.3497347
FPPS_c,0
GPPS_c,0
FPPS_h,0.041239795
GPPS_h,0.041239795
IDS1_h,0.123719384
IDS2_h,0.041239795
HMGL_m,0
FACOAL_183_6Z9Z12Z_c,0.024642306
MCOATA_h,3.677647737
MMSAD_m,2.938001508
NITR_c,5.964587603
GGDR_h,0.01290493
CHRM_c,2.848061661
FCLT_h,0
PYAMPP_c,0
PYAMK_c,0
PRK_h,131.4079485
TALA_h,0
SELCYSLY2_c,0
SELTOR_c,0
SPMS_c,0
SCS_m,-11.32039573
EAR120_h,0.522251992
EAR60_h,0.522251992
EAR160_h,0.515610928
RPE_h,-88.5682832
TKL1_h,-42.83966533
