rnx,flux
LYSTL_m,0
METTL_c,0.110834654
PHETL_m,0
PROTL_c,0.493691117
THRTL_c,0.406812719
THRTL_m,0
TRPTL_c,0.066027582
TYRTL_c,0.192833074
VALTL_c,0.430103524
VALTL_h,0
NADK_h,-2.34E-14
GLNA_m,4.427719511
TPTPti_h,15.14876153
FUM_m,7.898952014
GLYTA_m,0
BCTAV_h,-0.430103524
PGAM_c,0
PGAM_m,8.588171133
PDX5PO_c,0
PYDXNO_c,0
PYAM5PO_c,0
PYAMOX_c,0
PMANM_c,-0.20433111
POAT_c,-0.34366876
GLYTL_c,0.762829303
NADHOR_m,59.69459096
FA160ACPH_h,0
GCS_m,-3.424097084
FA180ACPH_h,0.003753336
HGDH_m,0
THFAT_m,0
EAR181_h,0.067554527
EAR100_h,0.760131177
EAR140_h,0.760131177
EAR80_h,0.760131177
3HAD40_h,-0.760131177
3HAD181_h,0.067554527
3HAD120_h,-0.760131177
3HAD100_h,-0.760131177
3HAD60_h,-0.760131177
3HAD140_h,-0.760131177
3HAD80_h,-0.760131177
3HAD160_h,-0.737099454
ACOATA_h,0.760131177
ACCOAC_h,5.369194382
3HAD180_h,0.003753336
EAR180_h,0.003753336
THD2_c,0.48181414
GLTS_m,0
CAT_x,0.295820241
FBP_c,11.66346186
GHMT_c,-0.439092299
SAL_c,5.392471249
TPI_c,1.96101873
UMPK_c,0.062232106
RPI_h,35.35175741
FUM_c,1.673514641
PGK_c,0
MTHFC_c,-0.213782598
MTHFD_c,0
CBMK_m,0.38431066
DXPS_h,0.457213639
TALA_c,0.279810181
GGPS_c,0
UDPSQS_h,0.026872073
SO3R_h,0.138931498
RPE_c,0
TKL1_c,-0.279810181
TKL2_c,0
DHAD_4_h,0.949451495
DHAD_5_h,0.330507607
DHFS_c,0
NTRIRfx_h,9.862087024
ACOAT_h,-5.500330524
PANTS_m,2.32E-17
FBA_c,-1.911288294
3OAR40_h,0.760131177
3OAR100_h,0.760131177
3OAR120_h,0.760131177
3OAR140_h,0.760131177
3OAR160_h,0.737099454
3OAR180_h,0.003753336
3OAR181_h,0.067554527
3OAR60_h,0.760131177
3OAR80_h,0.760131177
AGMT_m,0
ANPRT_c,0.066027582
HOXG_c,0
CHLPAS_h,0.036019625
TRPS1_c,0.066027582
NPHS_x,0
PDH_E2_h,-6.678952965
THRD_c,0.330507607
SERTL_c,0.514467993
ASNTL_c,0.28769689
LYSTL_c,0.331616693
GACT_h,-5.500330524
DHQDH_h,1.770531521
XPK_c,0.279810181
FPK_c,0.279810181
UPP3DC_c,0
NPDPS_m,0
CYSS_m,0
DHPS_c,0
IMPHL_1_h,0.519347972
IMPHL_2_h,0.519347972
ASL_c,0.322078554
HMBDPO_h,0.457213639
MPBQMT_h,0
TRPS2_c,0
ACN_a_m,-9.907265795
ACN_b_m,9.907265795
EX_photon_e,-1746.360698
PHOt_e,1746.360698
PHOt_h,1397.088523
PSII_u,150.2737887
CBFC_u,408.1681433
PSI_u,397.9639397
