rxn,flux
UGDH_c,0.109052006
MTMOHT_m,0
PGLYCP_h,0
IPPS_h,0.662492882
PPNCL_m,0
METS_c,-0.262886683
MTHFO1_c,0
MTHFO2_c,0.262886683
PGDH_c,6.872459615
PGDH_h,0
EAR40_h,0.956797017
OCT_m,0.410851222
UPP3DC_h,0
DVCHLDR_h,-0.025413724
DVPCHLDOR_h,0.025413724
FBP_h,33.9283431
FBA_h,-33.9283431
OAT_m,-1.040615597
FPPS_c,0
GPPS_c,0
FPPS_h,0.07603958
GPPS_h,0.07603958
IDS1_h,0.228118743
IDS2_h,0.07603958
HMGL_m,0
FACOAL_183_6Z9Z12Z_c,0.088168723
MCOATA_h,6.784218988
MMSAD_m,0
NITR_c,12.264972
GGDR_h,0.025413724
CHRM_c,0.684374765
FCLT_h,0
PYAMPP_c,0
PYAMK_c,0
PRK_h,100
TALA_h,0
SELCYSLY2_c,0
SELTOR_c,0
SPMS_c,0
SCS_m,-5.268774776
EAR120_h,0.956797017
EAR60_h,0.956797017
EAR160_h,0.939515597
RPE_h,-66.92286703
TKL1_h,-33.07713293
TKL2_h,33.8457341
P5CR_c,0
DAPEP_h,0.423018304
DAHPS_h,0.768601151
ACCAT_m,0
BCKDHI_m,-5.97E-15
BCKDHV_m,0
IMPDH_h,0.662492882
DHQS_h,0.768601151
SERPT_c,0
KARI_1_h,-0.421603528
KARI_2_h,0.421603528
MCCC_m,0
MGCH_m,0
BCKDHL_m,0
3OAS181_h,0.096720121
3OAS120_h,0.956797017
3OAS100_h,0.956797017
3OAS60_h,0.956797017
3OAS140_h,0.956797017
3OAS80_h,0.956797017
3OAS180_h,0.007201177
3OAS160_h,0.939515597
CHRS_h,0.768601151
ADCS_c,0
CMS_h,0.304158322
FUMAC_c,0
HGNTOR_c,0
ASADH_h,1.504945388
ASPK_h,1.504945388
PRAIC_c,-0.064033727
PRAIS_c,0.064033727
MTRI_c,0
MTRK_c,0
MTAN_m,0
AGK_h,0
3OAS40_h,0.956797017
PDH_E1b_h,8.418755256
PDH_E1b_m,0
PDH_E2_m,0
ARGSS_c,0.410851222
ASPCT_c,0.064033727
DHR_c,-0.064033727
NCPA_c,0
CAS_c,0
ATDAM_c,0
ADSS_c,0.146743158
GLCNACPT_c,0
TMTD_h,0
DXR_h,0.304158322
PRFGCL_c,0.064033727
PRFGS_c,0.064033727
LYCBC1_c,-0.025312929
G1SAT_h,-0.244284818
G5DH_c,0
GTHS_h,0
HDH_c,0.113936701
FACOAL_183_9Z12Z15Z_c,0
MPML_h,0.030535603
MPMT_h,-0.030535603
NOR_h,-0.025312929
CYEUOLI_c,0
OBFOLOR_c,0
CMK_h,0.304158322
PPDH_c,0.438392214
PDS1_c,0.025312929
PSY_h,0.025312929
PPBNGD_h,-0.030535603
PPBNGS_h,0.12214241
CPPPGO_h,0.030535603
PPPGO_h,0.030535603
PPRGL_c,0.064033727
IMGPS_c,0.113936701
PRICI_c,0.113936701
PSP_m,1.58380886
PSPPS_c,0
FBA3_h,33.07713293
SBP_h,33.07713293
OGDH_E2_m,5.268774776
OGDH_E1_m,5.268774776
EPSPS_h,-0.768601151
SQLS_c,0
DAPAT_h,0.423018304
DHPR_h,0.423018304
GLUTL_c,0.426508088
GLUTRR_h,0.244284818
TMTG_h,0
PDS2_h,0.025312929
ZDS_h,-0.025312929
METTF_c,0
FORA_c,0
HEMEASM_m,0
MERGTOLR_c,0
PPM_c,-0.326230541
PPM_h,0
BETALDH_c,0
SSAL2_m,0
ARGTL_c,0.410851222
CYSTL_c,0.035841016
GLYTL_m,0
HISTL_c,0.113936701
ILETL_c,0.421603528
LEUTL_c,0.662492882
LYSTL_m,0
METTL_c,0.141383376
PHETL_m,0
PROTL_c,0.629764375
THRTL_c,0.518940181
THRTL_m,0
TRPTL_c,0.084226386
TYRTL_c,0.245982551
VALTL_c,0.548650496
VALTL_h,0
NADK_h,2.52E-14
GLNA_m,0
TPTPti_h,28.59524597
FUM_m,5.268774776
GLYTA_m,0
BCTAV_h,-0.548650496
PGAM_c,0
PGAM_m,15.92095898
PDX5PO_c,0
PYDXNO_c,0
PYAM5PO_c,0
PYAMOX_c,0
PMANM_c,-0.191100152
POAT_c,-0.438392214
GLYTL_c,0.973083576
NADHOR_m,40.92305028
FA160ACPH_h,0
GCS_m,0.264298073
FA180ACPH_h,0.007201177
HGDH_m,0
THFAT_m,0
EAR181_h,0.096720121
EAR100_h,0.956797017
EAR140_h,0.956797017
EAR80_h,0.956797017
3HAD40_h,-0.956797017
3HAD181_h,0.096720121
3HAD120_h,-0.956797017
3HAD100_h,-0.956797017
3HAD60_h,-0.956797017
3HAD140_h,-0.956797017
3HAD80_h,-0.956797017
3HAD160_h,-0.939515597
ACOATA_h,0.956797017
ACCOAC_h,6.784218988
3HAD180_h,0.007201177
EAR180_h,0.007201177
THD2_c,11.73141274
GLTS_m,4.374947099
CAT_x,0
FBP_c,28.25450245
GHMT_c,-0.508521157
SAL_c,0
TPI_c,9.216724407
UMPK_c,0.064033727
RPI_h,33.07713293
FUM_c,0.621628107
PGK_c,0
MTHFC_c,-0.242004154
MTHFD_c,0
CBMK_m,0.474884948
DXPS_h,0.304158322
TALA_c,0.326230541
GGPS_c,0
UDPSQS_h,0.024547887
SO3R_h,0.177224392
RPE_c,6.872459615
TKL1_c,-0.326230541
TKL2_c,0
DHAD_4_h,1.211143378
DHAD_5_h,0.421603528
DHFS_c,0
NTRIRfx_h,12.264972
ACOAT_h,0
PANTS_m,0
FBA_c,-9.156670265
3OAR40_h,0.956797017
3OAR100_h,0.956797017
3OAR120_h,0.956797017
3OAR140_h,0.956797017
3OAR160_h,0.939515597
3OAR180_h,0.007201177
3OAR181_h,0.096720121
3OAR60_h,0.956797017
3OAR80_h,0.956797017
AGMT_m,-2.60E-16
ANPRT_c,0.084226386
HOXG_c,0
CHLPAS_h,0.025413724
TRPS1_c,0.084226386
NPHS_x,0
PDH_E2_h,-8.418755256
THRD_c,0.421603528
SERTL_c,0.656267863
ASNTL_c,0.366993138
LYSTL_c,0.423018304
GACT_h,0
DHQDH_h,0.768601151
XPK_c,7.19869016
FPK_c,0.326230541
UPP3DC_c,0.030535603
NPDPS_m,0
CYSS_m,0
DHPS_c,0
IMPHL_1_h,0.662492882
IMPHL_2_h,0.662492882
ASL_c,0.410851222
HMBDPO_h,0.304158322
MPBQMT_h,0
TRPS2_c,0
ACN_a_m,-7.406597049
ACN_b_m,7.406597049
EX_photon_e,-12526.42619
PHOt_e,12526.42619
PHOt_h,1105.302663
PSII_u,139.9078642
CBFC_u,279.8157283
PSI_u,272.8203352
ATPS_h,353.5144239
GLCt_e,0
GLCt_x,0
GLK_c,0
PFK_c,0
TPI_m,0
PGK_m,-17.50476784
PGAM_h,2.93891716
PYK_h,0
PPTPt_x,0
TPTPt_m,17.50476784
PYRNAt_h,23.92287222
MPCt_m,-23.92287222
PGL_c,6.872459615
6PGTt_m,0
EDD_h,0
EDA_m,0
RUBISC_h,100
ACK_c,7.524920701
