,876,,,,,,,,,,,,,
551,0.005870402,,,,,,,,,,,,,
552,0.005725786,,,,,,,,,,,,,
553,0.005694402,,,,,,,,,,,,,
554,0.005583594,,,,,,,,,,,,,
555,0.005469827,,,,,,,,,,,,,
556,0.005433413,,,,,,,,,,,,,
557,0.00531208,,,,,,,,,,,,,
558,0.005214702,,,,,,,,,,,,,
559,0.005136074,,,,,,,,,,,,,
560,0.005032121,,,,,,,,,,,,,
561,0.004985615,,,,,,,,,,,,,
562,0.004973434,,,,,,,,,,,,,
563,0.00488269,,,,,,,,,,,,,
564,0.004900859,,,,,,,,,,,,,
565,0.004916033,,,,,,,,,,,,,
566,0.004895636,,,,,,,,,,,,,
567,0.004891928,,,,,,,,,,,,,
568,0.004943412,,,,,,,,,,,,,
569,0.00491507,,,,,,,,,,,,,
570,0.004959994,,,,,,,,,,,,,
571,0.005020477,,,,,,,,,,,,,
572,0.005036681,,,,,,,,,,,,,
573,0.005084082,,,,,,,,,,,,,
574,0.005113154,,,,,,,,,,,,,
575,0.005171058,,,,,,,,,,,,,
576,0.005302739,,,,,,,,,,,,,
577,0.005351443,,,,,,,,,,,,,
578,0.00542564,,,,,,,,,,,,,
579,0.005449693,,,,,,,,,,,,,
580,0.005527903,,,,,,,,,,,,,
581,0.005607874,,,,,,,,,,,,,
582,0.00561434,,,,,,,,,,,,,
583,0.005700515,,,,,,,,,,,,,
584,0.005781746,,,,,,,,,,,,,
585,0.005806843,,,,,,,,,,,,,
586,0.005879453,,,,,,,,,,,,,
587,0.005879272,,,,,,,,,,,,,
588,0.005925763,,,,,,,,,,,,,
589,0.005949798,,,,,,,,,,,,,
590,0.005949414,,,,,,,,,,,,,
591,0.005983253,,,,,,,,,,,,,
592,0.005954237,,,,,,,,,,,,,
593,0.005955066,,,,,,,,,,,,,
594,0.005983409,,,,,,,,,,,,,
595,0.005921801,,,,,,,,,,,,,
596,0.005927392,,,,,,,,,,,,,
597,0.005890766,,,,,,,,,,,,,
598,0.005895244,,,,,,,,,,,,,
599,0.005918719,,,,,,,,,,,,,
600,0.005957292,,,,,,,,,,,,,
601,0.00598602,,,,,,,,,,,,,
602,0.006037307,,,,,,,,,,,,,
603,0.006026831,,,,,,,,,,,,,
604,0.006141811,,,,,,,,,,,,,
605,0.006211685,,,,,,,,,,,,,
606,0.006309424,,,,,,,,,,,,,
607,0.006444521,,,,,,,,,,,,,
608,0.006632312,,,,,,,,,,,,,
609,0.006730532,,,,,,,,,,,,,
610,0.006888304,,,,,,,,,,,,,
611,0.00707754,,,,,,,,,,,,,
612,0.00721696,,,,,,,,,,,,,
613,0.00741872,,,,,,,,,,,,,
614,0.007532954,,,,,,,,,,,,,
615,0.007726548,,,,,,,,,,,,,
616,0.007854358,,,,,,,,,,,,,
617,0.007997714,,,,,,,,,,,,,
618,0.008150514,,,,,,,,,,,,,
619,0.008305529,,,,,,,,,,,,,
620,0.008413738,,,,,,,,,,,,,
621,0.00856144,,,,,,,,,,,,,
622,0.008589514,,,,,,,,,,,,,
623,0.00867836,,,,,,,,,,,,,
624,0.008727356,,,,,,,,,,,,,
625,0.00873776,,,,,,,,,,,,,
626,0.008861927,,,,,,,,,,,,,
627,0.008865581,,,,,,,,,,,,,
628,0.008934883,,,,,,,,,,,,,
629,0.008937936,,,,,,,,,,,,,
630,0.008980769,,,,,,,,,,,,,
631,0.00898048,,,,,,,,,,,,,
632,0.009075686,,,,,,,,,,,,,
633,0.009031025,,,,,,,,,,,,,
634,0.00901189,,,,,,,,,,,,,
635,0.009045316,,,,,,,,,,,,,
636,0.00905171,,,,,,,,,,,,,
637,0.008984099,,,,,,,,,,,,,
638,0.009005087,,,,,,,,,,,,,
639,0.008891234,,,,,,,,,,,,,
640,0.00881684,,,,,,,,,,,,,
641,0.00874538,,,,,,,,,,,,,
642,0.008711886,,,,,,,,,,,,,
643,0.008661714,,,,,,,,,,,,,
644,0.008660328,,,,,,,,,,,,,
645,0.008635262,,,,,,,,,,,,,
646,0.008625761,,,,,,,,,,,,,
647,0.008656126,,,,,,,,,,,,,
648,0.00877282,,,,,,,,,,,,,
649,0.008911698,,,,,,,,,,,,,
650,0.008957162,,,,,,,,,,,,,
651,0.009177058,,,,,,,,,,,,,
652,0.009422423,,,,,,,,,,,,,
653,0.00968133,,,,,,,,,,,,,
654,0.01004355,,,,,,,,,,,,,
655,0.010512935,,,,,,,,,,,,,
656,0.011050305,,,,,,,,,,,,,
657,0.011705936,,,,,,,,,,,,,
658,0.012394815,,,,,,,,,,,,,
659,0.013265355,,,,,,,,,,,,,
660,0.014142912,,,,,,,,,,,,,
661,0.015064732,,,,,,,,,,,,,
662,0.016137555,,,,,,,,,,,,,
663,0.017227847,,,,,,,,,,,,,
664,0.018357984,,,,,,,,,,,,,
665,0.019511979,,,,,,,,,,,,,
666,0.020583683,,,,,,,,,,,,,
667,0.021668711,,,,,,,,,,,,,
668,0.022666889,,,,,,,,,,,,,
669,0.023519672,,,,,,,,,,,,,
670,0.024508166,,,,,,,,,,,,,
671,0.025203303,,,,,,,,,,,,,
672,0.025632533,,,,,,,,,,,,,
673,0.025774657,,,,,,,,,,,,,
674,0.025672926,,,,,,,,,,,,,
675,0.025211583,,,,,,,,,,,,,
676,0.024648069,,,,,,,,,,,,,
677,0.023896526,,,,,,,,,,,,,
678,0.022991135,,,,,,,,,,,,,
679,0.021906197,,,,,,,,,,,,,
680,0.020727875,,,,,,,,,,,,,
681,0.019476439,,,,,,,,,,,,,
682,0.018117393,,,,,,,,,,,,,
683,0.016598504,,,,,,,,,,,,,
684,0.015320736,,,,,,,,,,,,,
685,0.013839452,,,,,,,,,,,,,
686,0.012533751,,,,,,,,,,,,,
687,0.011256656,,,,,,,,,,,,,
688,0.010141238,,,,,,,,,,,,,
689,0.009004244,,,,,,,,,,,,,
690,0.007998323,,,,,,,,,,,,,
691,0.007210545,,,,,,,,,,,,,
692,0.006473805,,,,,,,,,,,,,
693,0.005686605,,,,,,,,,,,,,
694,0.0050574,,,,,,,,,,,,,
695,0.0044976,,,,,,,,,,,,,
696,0.00397445,,,,,,,,,,,,,
697,0.003525716,,,,,,,,,,,,,
698,0.003211354,,,,,,,,,,,,,
699,0.002835713,,,,,,,,,,,,,
700,0.002580614,,,,,,,,,,,,,
