rxn,flux
PSY_h,0.005904858842607978
PPBNGD_h,-0.007351919705171836
PPBNGS_h,0.029407678820687344
CPPPGO_h,0.007351919705171836
PPPGO_h,0.007351919705171836
PPRGL_c,0.006576317186031709
IMGPS_c,0.01526896408084464
PRICI_c,0.01526896408084464
PSP_m,0.0
PSPPS_c,3.573080439517435e-18
FBA3_h,2.8950091898637123
SBP_h,2.8950091898637123
OGDH_E2_m,0.6149268305552562
OGDH_E1_m,0.6149268305552562
EPSPS_h,-0.10300230819106207
SQLS_c,3.573080439517435e-18
DAPAT_h,0.056689821111412776
DHPR_h,0.056689821111412776
GLUTL_c,0.05715749633574458
GLUTRR_h,0.05881535764137469
TMTG_h,0.0
PDS2_h,0.005904858842607978
ZDS_h,-0.005904858842607978
METTF_c,0.0
FORA_c,0.0
HEMEASM_m,0.0
MERGTOLR_c,3.573080439517435e-18
PPM_c,-0.0397090031914884
PPM_h,0.0
BETALDH_c,0.0
SSAL2_m,0.0
ARGTL_c,0.05505927776172123
CYSTL_c,0.004803150952583578
GLYTL_m,0.0
HISTL_c,0.01526896408084464
ILETL_c,0.056500223047496315
LEUTL_c,0.0887824533972291
LYSTL_m,0.0
METTL_c,0.018947166520849434
PHETL_m,0.0
PROTL_c,0.08439641818526462
THRTL_c,0.0695445698450391
THRTL_m,0.0
TRPTL_c,0.011287404738571412
TYRTL_c,0.03296478337983678
VALTL_c,0.0735261291873123
VALTL_h,0.0
NADK_h,2.0816681711721685e-17
GLNA_m,0.0
TPTPti_h,2.515180705197718
FUM_m,0.6149268305552562
GLYTA_m,0.0
BCTAV_h,-0.0735261291873123
PGAM_c,0.0
PGAM_m,1.5197222903998129
PDX5PO_c,0.0
PYDXNO_c,0.0
PYAM5PO_c,0.0
PYAMOX_c,0.0
PMANM_c,0.0
POAT_c,-0.05875012007265387
GLYTL_c,0.13040554836264415
NADHOR_m,2.8432867173515364
FA160ACPH_h,0.0
GCS_m,0.04113059043487334
FA180ACPH_h,0.0
HGDH_m,0.0
THFAT_m,0.0
EAR181_h,0.0
EAR100_h,0.0
EAR140_h,0.0
EAR80_h,0.0
3HAD40_h,0.0
3HAD181_h,0.0
3HAD120_h,0.0
3HAD100_h,0.0
3HAD60_h,0.0
3HAD140_h,0.0
3HAD80_h,0.0
3HAD160_h,5.92368503177329e-16
ACOATA_h,0.0
ACCOAC_h,-5.92368503177329e-16
3HAD180_h,0.0
EAR180_h,0.0
THD2_c,1.5419125555651643
GLTS_m,0.7540664185001913
CAT_x,0.0
FBP_c,3.2846173518054678
GHMT_c,-0.05472068467892919
SAL_c,0.0
TPI_c,0.9670368163449886
UMPK_c,0.006576317186040681
RPI_h,2.8950091898637123
FUM_c,0.10004211059950709
PGK_c,0.0
MTHFC_c,-0.028421598452908124
MTHFD_c,0.0
CBMK_m,0.06163559494776191
DXPS_h,0.0708215600928072
TALA_c,0.0397090031914884
GGPS_c,0.0
UDPSQS_h,0.0
SO3R_h,0.02375031747343301
RPE_c,0.8876188099620124
TKL1_c,-0.0397090031914884
TKL2_c,0.0
DHAD_4_h,0.1623085825845414
DHAD_5_h,0.056500223047496315
DHFS_c,0.0
NTRIRfx_h,1.6370439208751293
ACOAT_h,0.0
PANTS_m,0.0
FBA_c,-0.9670368163449887
3OAR40_h,0.0
3OAR100_h,0.0
3OAR120_h,0.0
3OAR140_h,0.0
3OAR160_h,-5.92368503177329e-16
3OAR180_h,0.0
3OAR181_h,0.0
3OAR60_h,0.0
3OAR80_h,0.0
AGMT_m,0.0
ANPRT_c,0.011287404738571412
HOXG_c,0.0
CHLPAS_h,0.005895672337985844
TRPS1_c,0.011287404738571412
NPHS_x,0.0
PDH_E2_h,-0.09222887906255474
THRD_c,0.056500223047496315
SERTL_c,0.0879482219159909
ASNTL_c,0.04918173778027028
LYSTL_c,0.05668982111141408
GACT_h,0.0
DHQDH_h,0.10300230819106207
XPK_c,0.9273278131535008
FPK_c,0.0397090031914884
UPP3DC_c,0.007351919705171836
NPDPS_m,0.0
CYSS_m,0.0
DHPS_c,0.0
IMPHL_1_h,0.0887824533972291
IMPHL_2_h,0.0887824533972291
ASL_c,0.05505927776172123
HMBDPO_h,0.0708215600928072
MPBQMT_h,0.0
TRPS2_c,0.0
ACN_a_m,-0.947268526644589
ACN_b_m,0.947268526644589
EX_photon_e,-100.4259994374514
PHOt_e,100.4259994374514
PHOt_h,100.4259994374514
PSII_u,12.63717057186661
CBFC_u,25.57434114373322
PSI_u,24.93498261513989
ATPS_h,32.181694869086
GLCt_e,0.0
GLCt_x,0.0
